,school_state,resource_type,poverty_level,total_donations,funding_status,date_posted
89917,NY,Supplies,high poverty,0,expired,2008-06-11 00:00:00
265991,FL,Books,highest poverty,214,completed,2010-12-31 00:00:00
304261,NY,Technology,highest poverty,951,completed,2011-04-27 00:00:00
166497,WA,Technology,high poverty,0,expired,2009-10-11 00:00:00
626636,AZ,Technology,highest poverty,10,expired,2014-01-22 00:00:00
18049,SC,Books,high poverty,496,completed,2006-02-23 00:00:00
285545,WV,Technology,high poverty,0,expired,2011-03-01 00:00:00
105687,NJ,Technology,high poverty,634,completed,2008-10-14 00:00:00
117252,NC,Technology,highest poverty,0,expired,2009-01-10 00:00:00
293941,TN,Supplies,highest poverty,934,completed,2011-03-28 00:00:00
332659,OK,Other,high poverty,530,completed,2011-09-06 00:00:00
305988,FL,Other,highest poverty,414,completed,2011-05-10 00:00:00
853684,FL,Books,highest poverty,230,completed,2015-06-15 00:00:00
323821,NC,Other,highest poverty,75,expired,2011-08-14 00:00:00
263540,DC,Supplies,highest poverty,261,completed,2010-12-26 00:00:00
689471,TN,Supplies,high poverty,193,completed,2014-08-04 00:00:00
406959,WA,Other,high poverty,0,expired,2012-03-31 00:00:00
555183,OR,Technology,high poverty,0,expired,2013-09-01 00:00:00
691609,GA,Books,highest poverty,0,expired,2014-08-09 00:00:00
819820,VA,Technology,moderate poverty,225,completed,2015-03-11 00:00:00
146460,CA,Supplies,high poverty,227,completed,2009-08-04 00:00:00
213274,GA,Technology,high poverty,311,completed,2010-07-28 00:00:00
129349,AZ,Books,highest poverty,397,completed,2009-03-24 00:00:00
324840,KY,Books,high poverty,5,expired,2011-08-18 00:00:00
65982,IL,Supplies,highest poverty,50,expired,2007-12-16 00:00:00
656749,IN,Books,high poverty,435,completed,2014-04-15 00:00:00
672643,IL,Supplies,highest poverty,0,expired,2014-06-17 00:00:00
372836,NY,Technology,highest poverty,713,completed,2012-01-08 00:00:00
376493,TN,Books,highest poverty,384,completed,2012-01-16 00:00:00
582216,NY,Supplies,high poverty,282,completed,2013-10-12 00:00:00
266453,IL,Technology,high poverty,516,completed,2011-01-01 00:00:00
670689,CA,Technology,moderate poverty,14196,completed,2014-06-10 00:00:00
430299,WV,Technology,high poverty,806,completed,2012-08-06 00:00:00
355678,TX,Other,moderate poverty,378,completed,2011-11-20 00:00:00
33979,TX,Other,highest poverty,75,reallocated,2006-11-16 00:00:00
577856,TX,Books,high poverty,264,completed,2013-10-05 00:00:00
431176,PA,Supplies,highest poverty,487,completed,2012-08-10 00:00:00
821390,IN,Other,low poverty,481,completed,2015-03-14 00:00:00
503068,IN,Technology,low poverty,844,completed,2013-02-21 00:00:00
739790,IA,Technology,high poverty,753,completed,2014-09-20 00:00:00
449765,NY,Supplies,highest poverty,518,completed,2012-09-23 00:00:00
423880,CA,Technology,highest poverty,457,completed,2012-07-10 00:00:00
242285,CA,Books,highest poverty,420,completed,2010-10-13 00:00:00
252912,IL,Books,highest poverty,398,completed,2010-11-23 00:00:00
568638,AK,Other,highest poverty,339,completed,2013-09-20 00:00:00
199991,CA,Books,highest poverty,280,completed,2010-04-22 00:00:00
448001,TX,Books,highest poverty,511,completed,2012-09-18 00:00:00
548148,TN,Technology,high poverty,944,completed,2013-08-19 00:00:00
379365,CA,Supplies,highest poverty,993,completed,2012-01-21 00:00:00
601504,MO,Technology,high poverty,255,completed,2013-11-13 00:00:00
493,NY,Technology,highest poverty,592,completed,2002-11-29 00:00:00
750340,OK,Supplies,high poverty,573,completed,2014-10-02 00:00:00
699984,CA,Technology,highest poverty,404,completed,2014-08-20 00:00:00
201591,TX,Supplies,highest poverty,0,expired,2010-04-29 00:00:00
519989,GA,Technology,highest poverty,0,expired,2013-05-10 00:00:00
225401,CA,Other,highest poverty,215,completed,2010-09-05 00:00:00
94600,IL,Other,highest poverty,548,completed,2008-07-31 00:00:00
32490,MS,Other,highest poverty,0,expired,2006-11-02 00:00:00
864984,DC,Supplies,moderate poverty,778,completed,2015-07-24 00:00:00
377203,CA,Supplies,moderate poverty,490,completed,2012-01-18 00:00:00
109815,MA,Technology,highest poverty,663,completed,2008-11-14 00:00:00
760663,CA,Technology,high poverty,279,expired,2014-10-19 00:00:00
291482,FL,Supplies,highest poverty,227,completed,2011-03-20 00:00:00
872780,MA,Books,highest poverty,0,live,2015-08-05 00:00:00
70522,CA,Supplies,low poverty,100,expired,2008-01-15 00:00:00
166548,OH,Technology,high poverty,40,expired,2009-10-12 00:00:00
740042,AL,Books,high poverty,393,completed,2014-09-21 00:00:00
355474,CA,Supplies,highest poverty,411,completed,2011-11-20 00:00:00
206815,WV,Other,high poverty,0,expired,2010-06-08 00:00:00
579688,MA,Other,highest poverty,598,completed,2013-10-08 00:00:00
259092,FL,Technology,highest poverty,735,completed,2010-12-12 00:00:00
989,NY,Books,highest poverty,3141,completed,2003-06-17 00:00:00
191261,CA,Other,highest poverty,338,completed,2010-03-02 00:00:00
597922,CA,Supplies,high poverty,1073,completed,2013-11-07 00:00:00
743403,AR,Technology,highest poverty,588,reallocated,2014-09-24 00:00:00
670849,IL,Technology,moderate poverty,996,completed,2014-06-11 00:00:00
854461,NC,Books,moderate poverty,322,completed,2015-06-17 00:00:00
601337,VA,Technology,moderate poverty,2452,completed,2013-11-13 00:00:00
298369,CT,Technology,highest poverty,172,completed,2011-04-06 00:00:00
393506,IN,Supplies,highest poverty,0,expired,2012-02-15 00:00:00
589266,WA,Books,highest poverty,582,completed,2013-10-24 00:00:00
767817,TX,Books,highest poverty,183,completed,2014-11-02 00:00:00
215235,TX,Supplies,high poverty,657,completed,2010-08-06 00:00:00
594984,FL,Technology,high poverty,125,expired,2013-11-02 00:00:00
575895,NH,Supplies,moderate poverty,229,completed,2013-10-03 00:00:00
579791,TX,Other,highest poverty,213,completed,2013-10-08 00:00:00
756105,IL,Books,highest poverty,161,completed,2014-10-11 00:00:00
16494,NY,Supplies,moderate poverty,316,completed,2006-01-10 00:00:00
556392,TX,Technology,highest poverty,2176,completed,2013-09-02 00:00:00
278641,PA,Technology,high poverty,165,completed,2011-02-06 00:00:00
9675,CA,Technology,highest poverty,482,completed,2005-05-17 00:00:00
520492,CA,Supplies,moderate poverty,0,expired,2013-05-11 00:00:00
560211,CA,Technology,low poverty,1099,completed,2013-09-07 00:00:00
85876,NY,Supplies,highest poverty,264,completed,2008-04-16 00:00:00
180208,MS,Supplies,highest poverty,160,completed,2010-01-04 00:00:00
646503,PA,Books,high poverty,103,expired,2014-03-15 00:00:00
860669,NC,Technology,high poverty,192,completed,2015-07-10 00:00:00
148240,CA,Supplies,highest poverty,50,expired,2009-08-13 00:00:00
295737,TN,Technology,high poverty,496,completed,2011-04-02 00:00:00
226030,TX,Supplies,high poverty,337,completed,2010-09-07 00:00:00
282759,FL,Supplies,highest poverty,937,completed,2011-02-20 00:00:00
714927,OK,Books,highest poverty,839,reallocated,2014-09-01 00:00:00
210304,NY,Supplies,highest poverty,118,completed,2010-07-07 00:00:00
575504,NM,Supplies,highest poverty,557,completed,2013-10-02 00:00:00
136581,KS,Technology,high poverty,512,completed,2009-05-11 00:00:00
288636,TX,Technology,highest poverty,0,expired,2011-03-12 00:00:00
332181,CA,Technology,moderate poverty,314,completed,2011-09-04 00:00:00
725952,LA,Technology,highest poverty,1496,completed,2014-09-07 00:00:00
710896,CA,Technology,high poverty,111,expired,2014-08-29 00:00:00
757285,IL,Supplies,high poverty,50,expired,2014-10-14 00:00:00
601337,VA,Technology,moderate poverty,2452,completed,2013-11-13 00:00:00
280735,OH,Other,highest poverty,193,completed,2011-02-13 00:00:00
607146,OR,Technology,moderate poverty,360,expired,2013-11-23 00:00:00
350430,FL,Technology,high poverty,402,completed,2011-10-29 00:00:00
398514,CA,Supplies,high poverty,172,completed,2012-03-04 00:00:00
857062,CA,Supplies,highest poverty,0,live,2015-06-27 00:00:00
292773,FL,Supplies,high poverty,174,completed,2011-03-26 00:00:00
829111,FL,Technology,highest poverty,337,completed,2015-03-31 00:00:00
858182,MO,Supplies,high poverty,50,expired,2015-06-30 00:00:00
570698,KY,Technology,high poverty,25,expired,2013-09-23 00:00:00
96287,CA,Supplies,moderate poverty,257,completed,2008-08-14 00:00:00
751657,TX,Technology,high poverty,99,expired,2014-10-04 00:00:00
792843,CA,Trips,highest poverty,0,expired,2015-01-12 00:00:00
137147,WA,Technology,high poverty,0,expired,2009-05-15 00:00:00
343442,WA,Other,moderate poverty,583,completed,2011-10-06 00:00:00
610178,NY,Technology,highest poverty,282,completed,2013-12-01 00:00:00
462915,FL,Supplies,high poverty,355,completed,2012-10-16 00:00:00
638584,OK,Books,high poverty,0,expired,2014-02-24 00:00:00
810901,GA,Trips,highest poverty,1463,completed,2015-02-16 00:00:00
170879,VA,Technology,high poverty,765,completed,2009-11-06 00:00:00
125846,NC,Technology,highest poverty,100,expired,2009-03-01 00:00:00
679976,NY,Supplies,highest poverty,443,completed,2014-07-12 00:00:00
523320,NJ,Supplies,highest poverty,0,expired,2013-05-25 00:00:00
357645,NY,Books,moderate poverty,389,completed,2011-11-27 00:00:00
173734,NC,Supplies,highest poverty,521,completed,2009-11-23 00:00:00
337455,NY,Books,highest poverty,300,completed,2011-09-22 00:00:00
59387,NY,Other,highest poverty,0,expired,2007-11-06 00:00:00
476011,CA,Technology,highest poverty,270,completed,2012-11-20 00:00:00
474427,UT,Supplies,highest poverty,194,completed,2012-11-17 00:00:00
516501,IL,Technology,highest poverty,749,completed,2013-04-21 00:00:00
389118,MA,Supplies,highest poverty,100,expired,2012-02-05 00:00:00
582805,TX,Technology,high poverty,583,completed,2013-10-13 00:00:00
92778,IN,Supplies,highest poverty,614,completed,2008-07-18 00:00:00
351312,TX,Supplies,highest poverty,0,expired,2011-11-02 00:00:00
755891,CA,Technology,high poverty,472,completed,2014-10-11 00:00:00
554392,OR,Technology,high poverty,393,completed,2013-08-31 00:00:00
781507,SD,Supplies,highest poverty,324,completed,2014-12-06 00:00:00
336273,MS,Other,highest poverty,25,expired,2011-09-18 00:00:00
369733,NC,Supplies,high poverty,327,completed,2011-12-28 00:00:00
731454,GA,Supplies,highest poverty,355,completed,2014-09-13 00:00:00
699181,NY,Books,highest poverty,1340,completed,2014-08-19 00:00:00
217524,NC,Technology,highest poverty,447,completed,2010-08-13 00:00:00
749953,NY,Technology,highest poverty,50,expired,2014-10-01 00:00:00
693754,AR,Books,highest poverty,873,completed,2014-08-14 00:00:00
592093,WA,Books,highest poverty,546,completed,2013-10-29 00:00:00
363699,TN,Supplies,highest poverty,415,completed,2011-12-09 00:00:00
215356,CT,Supplies,highest poverty,417,completed,2010-08-06 00:00:00
329498,FL,Other,highest poverty,374,completed,2011-08-28 00:00:00
198513,CA,Supplies,highest poverty,474,completed,2010-04-13 00:00:00
782285,MI,Supplies,highest poverty,505,completed,2014-12-07 00:00:00
543648,FL,Technology,highest poverty,20,expired,2013-08-10 00:00:00
835495,TX,Supplies,highest poverty,215,completed,2015-04-20 00:00:00
28175,IL,Supplies,highest poverty,0,expired,2006-09-10 00:00:00
840348,LA,Other,high poverty,119,live,2015-05-08 00:00:00
374723,CA,Technology,highest poverty,0,expired,2012-01-14 00:00:00
269192,NJ,Other,highest poverty,512,completed,2011-01-11 00:00:00
403737,NJ,Books,highest poverty,487,completed,2012-03-17 00:00:00
530828,FL,Books,highest poverty,510,expired,2013-06-27 00:00:00
577701,TN,Books,high poverty,100,expired,2013-10-05 00:00:00
296999,MO,Supplies,moderate poverty,150,expired,2011-04-04 00:00:00
778965,NY,Other,highest poverty,431,completed,2014-11-28 00:00:00
588885,GA,Technology,highest poverty,1054,completed,2013-10-23 00:00:00
377850,CA,Technology,high poverty,808,completed,2012-01-20 00:00:00
324648,NC,Supplies,high poverty,0,expired,2011-08-17 00:00:00
125560,NY,Supplies,high poverty,195,completed,2009-02-28 00:00:00
287078,AZ,Supplies,highest poverty,251,completed,2011-03-06 00:00:00
113824,IN,Technology,highest poverty,337,completed,2008-12-12 00:00:00
56580,NY,Technology,moderate poverty,1474,completed,2007-10-28 00:00:00
461145,UT,Technology,moderate poverty,550,expired,2012-10-14 00:00:00
623106,IL,Supplies,highest poverty,0,expired,2014-01-12 00:00:00
593987,FL,Technology,highest poverty,0,expired,2013-11-01 00:00:00
524425,MI,Supplies,highest poverty,555,completed,2013-05-29 00:00:00
816782,CA,Trips,highest poverty,845,completed,2015-03-03 00:00:00
298464,DE,Supplies,high poverty,422,completed,2011-04-07 00:00:00
839430,IN,Books,highest poverty,189,completed,2015-05-05 00:00:00
692807,FL,Other,highest poverty,50,expired,2014-08-12 00:00:00
627847,IL,Books,high poverty,262,completed,2014-01-26 00:00:00
391297,CA,Supplies,highest poverty,0,expired,2012-02-11 00:00:00
847758,PA,Supplies,highest poverty,0,live,2015-05-27 00:00:00
169215,SC,Supplies,highest poverty,564,completed,2009-10-27 00:00:00
602591,GA,Supplies,low poverty,0,expired,2013-11-15 00:00:00
88863,CA,Supplies,highest poverty,223,completed,2008-05-23 00:00:00
761172,CA,Books,moderate poverty,1479,completed,2014-10-20 00:00:00
775198,CA,Technology,high poverty,0,expired,2014-11-17 00:00:00
308119,AL,Technology,moderate poverty,0,expired,2011-05-22 00:00:00
212826,IL,Supplies,high poverty,230,expired,2010-07-26 00:00:00
161868,CA,Books,highest poverty,478,completed,2009-09-28 00:00:00
10508,NC,Technology,moderate poverty,0,expired,2005-07-18 00:00:00
864160,CA,Technology,high poverty,495,live,2015-07-22 00:00:00
414965,TX,Other,highest poverty,290,completed,2012-05-10 00:00:00
118089,CA,Other,high poverty,648,completed,2009-01-15 00:00:00
325229,MI,Technology,highest poverty,353,completed,2011-08-19 00:00:00
16571,NY,Supplies,highest poverty,180,expired,2006-01-12 00:00:00
195984,PA,Supplies,highest poverty,0,expired,2010-03-29 00:00:00
113868,VA,Technology,high poverty,269,completed,2008-12-12 00:00:00
545576,IL,Supplies,highest poverty,272,completed,2013-08-13 00:00:00
216914,PA,Books,highest poverty,573,completed,2010-08-11 00:00:00
141565,NY,Supplies,low poverty,391,completed,2009-06-19 00:00:00
403002,IL,Books,highest poverty,319,completed,2012-03-15 00:00:00
199400,MO,Supplies,highest poverty,210,completed,2010-04-19 00:00:00
254996,CT,Technology,highest poverty,556,completed,2010-12-03 00:00:00
165808,CA,Other,highest poverty,155,completed,2009-10-09 00:00:00
514840,CA,Books,highest poverty,180,completed,2013-04-14 00:00:00
339831,NJ,Technology,high poverty,198,completed,2011-09-27 00:00:00
581879,TX,Books,moderate poverty,330,completed,2013-10-11 00:00:00
674359,CA,Technology,high poverty,223,completed,2014-06-21 00:00:00
591053,CA,Books,moderate poverty,562,completed,2013-10-27 00:00:00
608312,CT,Technology,highest poverty,50,expired,2013-11-26 00:00:00
639174,NJ,Technology,high poverty,511,completed,2014-02-26 00:00:00
77129,TX,Books,high poverty,143,completed,2008-02-22 00:00:00
744892,SC,Other,moderate poverty,219,expired,2014-09-26 00:00:00
355646,CA,Books,highest poverty,10,reallocated,2011-11-20 00:00:00
572654,AR,Technology,highest poverty,0,expired,2013-09-27 00:00:00
777012,UT,Other,moderate poverty,315,completed,2014-11-22 00:00:00
575047,CA,Supplies,highest poverty,555,completed,2013-10-01 00:00:00
320156,DC,Supplies,highest poverty,239,completed,2011-08-01 00:00:00
263530,NV,Technology,high poverty,50,expired,2010-12-26 00:00:00
229657,CA,Technology,highest poverty,1040,completed,2010-09-15 00:00:00
658548,NC,Books,moderate poverty,0,expired,2014-04-23 00:00:00
869797,GA,Other,highest poverty,1503,completed,2015-08-01 00:00:00
154347,UT,Technology,high poverty,3,expired,2009-09-03 00:00:00
675812,KY,Technology,moderate poverty,0,expired,2014-06-24 00:00:00
170188,NJ,Books,high poverty,594,completed,2009-10-31 00:00:00
772244,CT,Supplies,highest poverty,213,completed,2014-11-10 00:00:00
339774,NY,Technology,highest poverty,518,completed,2011-09-26 00:00:00
189853,CA,Technology,highest poverty,393,completed,2010-02-23 00:00:00
293614,FL,Books,high poverty,478,completed,2011-03-27 00:00:00
369738,CT,Technology,highest poverty,282,completed,2011-12-28 00:00:00
533069,AZ,Technology,highest poverty,60,expired,2013-07-08 00:00:00
630026,IN,Technology,highest poverty,246,completed,2014-02-02 00:00:00
203504,CA,Books,highest poverty,506,completed,2010-05-13 00:00:00
208461,NY,Technology,highest poverty,10,expired,2010-06-24 00:00:00
733848,CA,Books,highest poverty,24,expired,2014-09-15 00:00:00
441292,CA,Supplies,highest poverty,0,expired,2012-09-04 00:00:00
854529,IL,Supplies,high poverty,0,live,2015-06-17 00:00:00
380029,CA,Technology,highest poverty,341,completed,2012-01-22 00:00:00
483420,NY,Supplies,highest poverty,187,completed,2012-12-13 00:00:00
303011,NJ,Books,highest poverty,456,completed,2011-04-19 00:00:00
778344,CT,Books,highest poverty,879,completed,2014-11-25 00:00:00
441585,CA,Technology,moderate poverty,934,completed,2012-09-04 00:00:00
398460,WA,Supplies,moderate poverty,2788,completed,2012-03-04 00:00:00
205459,OK,Supplies,highest poverty,0,expired,2010-05-27 00:00:00
496103,NM,Supplies,highest poverty,0,expired,2013-01-31 00:00:00
148043,CA,Supplies,highest poverty,251,completed,2009-08-13 00:00:00
30207,NC,Technology,highest poverty,0,expired,2006-10-05 00:00:00
156886,CA,Technology,moderate poverty,939,completed,2009-09-12 00:00:00
868732,PA,Technology,highest poverty,0,live,2015-07-30 00:00:00
549695,AZ,Technology,high poverty,0,expired,2013-08-23 00:00:00
367524,CA,Other,highest poverty,823,completed,2011-12-18 00:00:00
466,NY,Supplies,highest poverty,138,completed,2002-11-27 00:00:00
811582,GA,Supplies,highest poverty,0,expired,2015-02-18 00:00:00
688104,OK,Supplies,moderate poverty,383,completed,2014-08-01 00:00:00
501548,AL,Technology,high poverty,124,expired,2013-02-16 00:00:00
211901,OK,Other,highest poverty,391,completed,2010-07-20 00:00:00
729926,MS,Supplies,highest poverty,464,completed,2014-09-13 00:00:00
403710,AZ,Supplies,highest poverty,592,completed,2012-03-17 00:00:00
634551,TX,Books,highest poverty,65,expired,2014-02-14 00:00:00
300360,CA,Technology,highest poverty,0,expired,2011-04-12 00:00:00
653053,IA,Books,moderate poverty,56,expired,2014-04-03 00:00:00
72864,IL,Books,highest poverty,45,expired,2008-01-28 00:00:00
623095,TX,Supplies,highest poverty,351,completed,2014-01-12 00:00:00
817526,CA,Supplies,highest poverty,989,completed,2015-03-04 00:00:00
204070,NC,Technology,highest poverty,0,expired,2010-05-18 00:00:00
254718,NY,Supplies,highest poverty,30,expired,2010-12-03 00:00:00
835401,CA,Technology,highest poverty,374,completed,2015-04-20 00:00:00
283399,TX,Technology,highest poverty,0,expired,2011-02-22 00:00:00
703083,KS,Technology,highest poverty,2328,completed,2014-08-23 00:00:00
375776,CA,Other,highest poverty,562,completed,2012-01-15 00:00:00
597040,NC,Technology,highest poverty,45,expired,2013-11-06 00:00:00
32804,SC,Other,highest poverty,361,completed,2006-11-06 00:00:00
782745,CA,Supplies,highest poverty,228,completed,2014-12-07 00:00:00
475302,IL,Technology,highest poverty,1553,completed,2012-11-19 00:00:00
392498,CA,Technology,highest poverty,1061,completed,2012-02-12 00:00:00
871983,IL,Supplies,highest poverty,495,live,2015-08-03 00:00:00
410732,IL,Books,highest poverty,373,completed,2012-04-19 00:00:00
508619,IL,Books,high poverty,441,completed,2013-03-16 00:00:00
430716,ME,Other,high poverty,305,completed,2012-08-09 00:00:00
121368,TX,Books,highest poverty,791,completed,2009-02-04 00:00:00
287847,TN,Books,highest poverty,0,expired,2011-03-08 00:00:00
525933,IL,Supplies,high poverty,806,completed,2013-06-07 00:00:00
181803,NY,Other,highest poverty,0,expired,2010-01-12 00:00:00
754725,CA,Other,high poverty,294,completed,2014-10-10 00:00:00
319745,NY,Books,highest poverty,180,completed,2011-07-30 00:00:00
386284,CA,Technology,high poverty,130,expired,2012-02-01 00:00:00
517123,TN,Other,highest poverty,961,completed,2013-04-26 00:00:00
499060,NY,Supplies,high poverty,497,reallocated,2013-02-10 00:00:00
383058,CA,Books,high poverty,448,completed,2012-01-29 00:00:00
190279,NY,Technology,moderate poverty,100,reallocated,2010-02-26 00:00:00
306185,SC,Supplies,highest poverty,114,expired,2011-05-11 00:00:00
210529,CA,Other,moderate poverty,611,completed,2010-07-10 00:00:00
873202,FL,Supplies,high poverty,432,completed,2015-08-05 00:00:00
731398,KS,Technology,high poverty,0,expired,2014-09-13 00:00:00
872713,NJ,Supplies,highest poverty,0,live,2015-08-04 00:00:00
560705,ME,Technology,highest poverty,900,completed,2013-09-08 00:00:00
89237,CA,Supplies,highest poverty,0,expired,2008-05-29 00:00:00
432860,FL,Supplies,high poverty,0,expired,2012-08-14 00:00:00
277962,NC,Supplies,highest poverty,0,expired,2011-02-05 00:00:00
355299,CA,Supplies,moderate poverty,984,completed,2011-11-18 00:00:00
370956,CA,Other,high poverty,551,completed,2012-01-02 00:00:00
702772,IL,Technology,highest poverty,365,completed,2014-08-23 00:00:00
311063,TX,Supplies,highest poverty,15,expired,2011-06-13 00:00:00
835279,NV,Books,low poverty,198,completed,2015-04-20 00:00:00
41584,NY,Supplies,highest poverty,100,completed,2007-03-24 00:00:00
184771,NJ,Supplies,highest poverty,140,completed,2010-01-28 00:00:00
71793,VA,Technology,high poverty,0,expired,2008-01-22 00:00:00
768098,NY,Technology,highest poverty,427,expired,2014-11-02 00:00:00
192821,NC,Books,high poverty,346,completed,2010-03-10 00:00:00
699537,IL,Other,highest poverty,321,completed,2014-08-20 00:00:00
252282,NC,Books,high poverty,601,completed,2010-11-19 00:00:00
120596,CA,Technology,highest poverty,0,expired,2009-02-01 00:00:00
655371,NH,Technology,high poverty,985,completed,2014-04-10 00:00:00
267494,SC,Books,highest poverty,180,completed,2011-01-05 00:00:00
128631,CA,Supplies,highest poverty,25,expired,2009-03-18 00:00:00
223482,NY,Technology,highest poverty,763,completed,2010-09-01 00:00:00
703876,TN,Other,high poverty,1432,completed,2014-08-23 00:00:00
588790,MI,Technology,moderate poverty,349,completed,2013-10-23 00:00:00
626936,NC,Technology,high poverty,0,expired,2014-01-23 00:00:00
381087,AZ,Books,high poverty,120,expired,2012-01-25 00:00:00
752713,CA,Trips,highest poverty,8632,completed,2014-10-06 00:00:00
17541,IL,Supplies,highest poverty,154,completed,2006-02-08 00:00:00
506237,NC,Other,moderate poverty,484,completed,2013-03-06 00:00:00
427462,AL,Books,highest poverty,0,expired,2012-07-27 00:00:00
258838,CA,Technology,highest poverty,240,completed,2010-12-11 00:00:00
692208,IL,Technology,highest poverty,0,expired,2014-08-10 00:00:00
585533,NC,Technology,moderate poverty,542,completed,2013-10-18 00:00:00
398841,CA,Technology,moderate poverty,745,completed,2012-03-04 00:00:00
312136,IL,Books,highest poverty,582,completed,2011-06-23 00:00:00
162521,IN,Supplies,high poverty,10,expired,2009-09-30 00:00:00
454252,AR,Technology,highest poverty,460,completed,2012-10-01 00:00:00
373833,NY,Other,moderate poverty,100,expired,2012-01-12 00:00:00
635339,OH,Technology,highest poverty,412,completed,2014-02-15 00:00:00
116078,DC,Books,low poverty,722,completed,2008-12-30 00:00:00
264026,MO,Books,highest poverty,368,completed,2010-12-26 00:00:00
143356,FL,Supplies,highest poverty,0,expired,2009-07-09 00:00:00
340838,KY,Technology,high poverty,907,completed,2011-09-29 00:00:00
743064,TN,Supplies,highest poverty,0,expired,2014-09-24 00:00:00
431936,MT,Technology,moderate poverty,1898,expired,2012-08-12 00:00:00
442855,CA,Technology,highest poverty,1059,completed,2012-09-06 00:00:00
637200,NC,Books,high poverty,337,completed,2014-02-22 00:00:00
296020,TN,Technology,highest poverty,84,expired,2011-04-02 00:00:00
659032,NJ,Books,highest poverty,427,completed,2014-04-26 00:00:00
536162,MD,Technology,highest poverty,50,expired,2013-07-20 00:00:00
864079,CA,Technology,moderate poverty,0,live,2015-07-22 00:00:00
362841,MI,Supplies,high poverty,392,completed,2011-12-08 00:00:00
412162,AZ,Technology,high poverty,5,expired,2012-04-28 00:00:00
195542,TX,Other,highest poverty,342,completed,2010-03-26 00:00:00
198240,IL,Supplies,highest poverty,156,completed,2010-04-12 00:00:00
438157,CA,Other,high poverty,626,completed,2012-08-29 00:00:00
139999,AL,Other,highest poverty,129,completed,2009-06-02 00:00:00
144130,IL,Supplies,highest poverty,466,completed,2009-07-14 00:00:00
129454,NJ,Technology,low poverty,1098,completed,2009-03-24 00:00:00
162713,GA,Books,high poverty,339,completed,2009-09-30 00:00:00
545943,KY,Technology,highest poverty,120,expired,2013-08-14 00:00:00
372041,TX,Technology,highest poverty,848,completed,2012-01-07 00:00:00
273557,OR,Supplies,high poverty,140,expired,2011-01-23 00:00:00
226560,CA,Technology,highest poverty,294,completed,2010-09-08 00:00:00
570906,NY,Other,highest poverty,244,completed,2013-09-24 00:00:00
750539,CA,Supplies,high poverty,400,completed,2014-10-03 00:00:00
315154,AZ,Technology,highest poverty,195,completed,2011-07-09 00:00:00
486488,MS,Technology,highest poverty,445,completed,2012-12-23 00:00:00
429268,FL,Technology,highest poverty,0,expired,2012-08-01 00:00:00
390579,ID,Other,highest poverty,546,completed,2012-02-10 00:00:00
615617,MA,Books,low poverty,168,completed,2013-12-15 00:00:00
539934,SC,Supplies,high poverty,0,expired,2013-08-02 00:00:00
749678,CA,Supplies,highest poverty,80,expired,2014-10-01 00:00:00
560534,CA,Books,highest poverty,1728,completed,2013-09-08 00:00:00
837794,IL,Supplies,highest poverty,470,completed,2015-04-29 00:00:00
397898,MN,Visitors,high poverty,638,completed,2012-03-01 00:00:00
608271,OH,Other,high poverty,464,completed,2013-11-26 00:00:00
873836,LA,Supplies,highest poverty,0,live,2015-08-08 00:00:00
349379,NY,Technology,highest poverty,1078,completed,2011-10-25 00:00:00
342219,GA,Supplies,moderate poverty,738,completed,2011-10-02 00:00:00
472629,PA,Books,highest poverty,466,completed,2012-11-10 00:00:00
603383,AZ,Books,highest poverty,526,completed,2013-11-16 00:00:00
671119,GA,Supplies,highest poverty,289,completed,2014-06-12 00:00:00
667311,PA,Technology,highest poverty,407,completed,2014-05-25 00:00:00
137798,IL,Other,highest poverty,0,expired,2009-05-19 00:00:00
384446,CA,Supplies,high poverty,352,completed,2012-01-30 00:00:00
126727,SC,Supplies,highest poverty,407,completed,2009-03-06 00:00:00
423443,DE,Technology,highest poverty,1550,completed,2012-07-05 00:00:00
316086,FL,Technology,highest poverty,25,expired,2011-07-14 00:00:00
5106,NY,Books,highest poverty,227,completed,2004-09-05 00:00:00
194656,NY,Other,moderate poverty,973,completed,2010-03-19 00:00:00
753722,NC,Technology,highest poverty,1131,completed,2014-10-08 00:00:00
158308,OK,Supplies,high poverty,180,completed,2009-09-17 00:00:00
855262,SC,Other,high poverty,0,live,2015-06-20 00:00:00
253040,CA,Technology,low poverty,414,completed,2010-11-23 00:00:00
831194,FL,Supplies,high poverty,214,completed,2015-04-06 00:00:00
211873,IL,Supplies,highest poverty,254,completed,2010-07-20 00:00:00
593232,ID,Technology,high poverty,35,expired,2013-10-31 00:00:00
371299,TN,Supplies,high poverty,122,expired,2012-01-03 00:00:00
635373,NY,Books,high poverty,260,completed,2014-02-16 00:00:00
592581,CA,Books,moderate poverty,598,completed,2013-10-29 00:00:00
401141,UT,Supplies,highest poverty,217,completed,2012-03-10 00:00:00
314539,KY,Technology,highest poverty,1196,completed,2011-07-05 00:00:00
575485,HI,Books,highest poverty,763,completed,2013-10-02 00:00:00
114699,KY,Books,moderate poverty,246,completed,2008-12-17 00:00:00
277970,LA,Technology,highest poverty,815,completed,2011-02-05 00:00:00
69474,NC,Supplies,highest poverty,0,expired,2008-01-08 00:00:00
278823,TX,Books,highest poverty,488,completed,2011-02-06 00:00:00
569918,NY,Technology,highest poverty,234,completed,2013-09-22 00:00:00
